run_name,exact_mip,baseline_greedy,baseline_beam,baseline_random,best_model,best_objective_score
run_0405,50.38666666666667,51.51,51.46333333333333,50.38666666666667,exact_mip,50.38666666666667
run_0406,48.85,48.85,48.85,48.85,exact_mip,48.85
run_0407,81.82000000000001,83.88,83.88,82.17,exact_mip,81.82000000000001
run_0408,105.58,108.9,106.68,105.58,exact_mip,105.58
run_0409,67.36,70.02666666666667,68.36666666666667,68.27333333333334,exact_mip,67.36
run_0410,100.37,103.27,101.82,100.58,exact_mip,100.37
run_0411,28.59,28.59,28.59,28.59,exact_mip,28.59
run_0412,23.34,23.34,23.34,23.34,exact_mip,23.34
run_0413,34.9,34.9,34.9,34.9,exact_mip,34.9
run_0414,56.72,57.913333333333334,56.72,56.72,exact_mip,56.72
run_0415,45.6,45.6,45.6,45.6,exact_mip,45.6
run_0416,43.88,46.36,43.88,43.88,exact_mip,43.88
run_0417,83.72,84.0,83.86,83.72,exact_mip,83.72
run_0418,60.7,62.43,60.7,60.7,exact_mip,60.7
run_0419,83.92,84.48,84.48,83.92,exact_mip,83.92
run_0420,26.15,26.15,26.15,26.15,exact_mip,26.15
run_0421,32.84,32.84,32.84,32.84,exact_mip,32.84
run_0422,27.67,27.67,27.67,27.67,exact_mip,27.67
run_0423,75.71,77.23,77.23,75.92,exact_mip,75.71
run_0424,47.46,49.19,47.46,47.46,exact_mip,47.46
run_0425,98.83,101.17,101.17,98.83,exact_mip,98.83
run_0426,52.32,53.91,53.63,52.32,exact_mip,52.32
run_0427,59.35,59.35,59.35,59.35,exact_mip,59.35
run_0428,26.84,26.84,26.84,26.84,exact_mip,26.84
